Crop,N_Effect,P_Effect,K_Effect,pH_Effect
Mungbean,33.71,-11.46,-22.7,0.299
Mungbean,25.1,-12.39,-21.43,0.113
Mungbean,32.22,-10.52,-27.79,0.152
Mungbean,42.0,-13.27,-23.43,0.294
Mungbean,31.66,-11.57,-28.52,0.202
Mungbean,36.41,-10.75,-24.05,0.296
Mungbean,32.65,-12.66,-22.07,0.107
Mungbean,30.61,-12.25,-25.04,0.19
Mungbean,33.81,-10.8,-23.12,0.261
Mungbean,37.08,-13.84,-20.12,0.29
Mungbean,30.95,-10.23,-23.3,0.176
Mungbean,30.06,-10.98,-28.56,0.27
Mungbean,44.71,-11.79,-22.39,0.177
Mungbean,28.98,-10.89,-28.9,0.249
Mungbean,38.24,-10.05,-22.77,0.253
Mungbean,44.96,-14.04,-21.97,0.22
Mungbean,41.2,-13.01,-21.96,0.267
Mungbean,25.28,-13.19,-29.7,0.218
Mungbean,41.63,-13.4,-23.72,0.156
Mungbean,37.03,-11.33,-29.44,0.179
Mungbean,41.77,-10.14,-29.12,0.192
Mungbean,27.49,-13.94,-21.19,0.12
Mungbean,40.87,-13.73,-27.81,0.272
Mungbean,44.51,-12.92,-27.26,0.296
Mungbean,44.94,-14.21,-26.36,0.157
Mungbean,35.51,-11.48,-28.09,0.206
Mungbean,37.54,-14.21,-25.37,0.155
Mungbean,30.94,-10.19,-28.89,0.154
Mungbean,29.54,-13.46,-26.15,0.264
Mungbean,26.13,-12.31,-20.27,0.246
Mungbean,39.74,-13.23,-27.83,0.117
Mungbean,44.02,-12.9,-26.95,0.151
Mungbean,43.6,-10.3,-27.11,0.25
Mungbean,31.38,-12.86,-27.89,0.269
Mungbean,37.5,-12.14,-22.46,0.104
Mungbean,38.19,-13.6,-23.7,0.103
Mungbean,41.73,-10.13,-28.5,0.268
Mungbean,25.36,-13.25,-26.38,0.266
Mungbean,33.29,-12.08,-26.69,0.273
Mungbean,30.64,-12.9,-22.85,0.163
Mungbean,36.77,-11.96,-28.75,0.206
Mungbean,43.67,-12.36,-29.06,0.296
Mungbean,37.47,-12.92,-28.59,0.269
Mungbean,34.06,-12.03,-20.99,0.145
Mungbean,43.6,-10.4,-25.12,0.13
Mungbean,44.38,-13.24,-29.41,0.108
Mungbean,36.87,-12.36,-24.55,0.195
Mungbean,44.12,-13.13,-22.5,0.177
Mungbean,35.14,-11.72,-27.2,0.126
Mungbean,41.05,-10.35,-25.52,0.27
Mungbean,30.05,-10.72,-27.81,0.107
Mungbean,34.78,-11.88,-29.62,0.272
Mungbean,40.76,-11.8,-29.38,0.165
Mungbean,28.88,-12.3,-23.37,0.2
Pigeonpeas,59.54,-10.54,-28.48,0.469
Pigeonpeas,40.0,-13.33,-36.78,0.248
Pigeonpeas,62.61,-13.6,-37.77,0.3
Pigeonpeas,41.2,-15.25,-28.06,0.474
Pigeonpeas,52.86,-16.85,-27.46,0.275
Pigeonpeas,50.97,-15.59,-34.25,0.37
Pigeonpeas,43.15,-17.63,-36.49,0.409
Pigeonpeas,68.57,-19.8,-30.85,0.448
Pigeonpeas,50.81,-11.57,-34.07,0.3
Pigeonpeas,40.45,-10.24,-25.55,0.24
Pigeonpeas,42.46,-16.55,-36.08,0.423
Pigeonpeas,47.85,-18.3,-26.08,0.327
Pigeonpeas,67.07,-14.42,-26.23,0.445
Pigeonpeas,52.52,-11.91,-32.19,0.261
Pigeonpeas,66.55,-11.51,-25.87,0.379
Pigeonpeas,56.5,-18.48,-38.02,0.388
Pigeonpeas,56.48,-12.98,-39.77,0.308
Pigeonpeas,52.62,-12.92,-29.68,0.452
Pigeonpeas,50.94,-17.85,-31.28,0.225
Pigeonpeas,48.26,-12.18,-31.37,0.225
Pigeonpeas,55.03,-10.72,-39.26,0.374
Pigeonpeas,40.02,-11.11,-29.81,0.393
Pigeonpeas,58.1,-12.83,-30.21,0.349
Pigeonpeas,67.18,-18.78,-35.82,0.44
Pigeonpeas,41.8,-17.63,-28.72,0.471
Pigeonpeas,56.35,-12.6,-39.01,0.473
Pigeonpeas,49.94,-13.8,-26.73,0.332
Pigeonpeas,69.12,-19.46,-37.22,0.37
Pigeonpeas,50.9,-18.8,-31.4,0.48
Pigeonpeas,62.82,-19.68,-31.95,0.393
Pigeonpeas,43.41,-16.29,-31.89,0.316
Pigeonpeas,64.03,-18.52,-35.11,0.327
Pigeonpeas,54.29,-15.11,-27.31,0.231
Pigeonpeas,66.45,-19.99,-33.85,0.496
Pigeonpeas,50.63,-15.35,-29.51,0.382
Pigeonpeas,60.18,-11.42,-31.98,0.438
Pigeonpeas,42.97,-18.8,-32.61,0.358
Pigeonpeas,50.46,-17.57,-30.9,0.457
Pigeonpeas,59.03,-10.98,-37.61,0.426
Pigeonpeas,50.21,-11.22,-27.93,0.435
Pigeonpeas,45.33,-17.91,-36.27,0.221
Pigeonpeas,45.25,-18.01,-25.14,0.299
Pigeonpeas,40.96,-13.01,-29.88,0.393
Pigeonpeas,40.39,-11.97,-26.0,0.466
Pigeonpeas,48.91,-11.56,-28.5,0.39
Pigeonpeas,40.39,-19.05,-33.71,0.413
Pigeonpeas,66.5,-13.44,-37.55,0.251
Pigeonpeas,63.41,-11.89,-25.82,0.321
Pigeonpeas,50.99,-19.01,-30.81,0.276
Pigeonpeas,46.32,-13.3,-29.84,0.318
Pigeonpeas,61.5,-15.52,-31.34,0.326
Pigeonpeas,64.86,-14.29,-35.42,0.496
Pigeonpeas,59.7,-17.49,-28.56,0.471
Pigeonpeas,58.03,-10.28,-25.49,0.387
Pigeonpeas,43.58,-10.49,-29.59,0.457
Pigeonpeas,47.82,-19.21,-35.92,0.287
Pigeonpeas,58.12,-15.31,-34.66,0.292
Pigeonpeas,55.05,-12.19,-37.86,0.446
Pigeonpeas,66.39,-18.33,-27.59,0.423
Pigeonpeas,68.87,-16.46,-32.96,0.473
Pigeonpeas,43.28,-10.2,-31.43,0.312
Pigeonpeas,60.47,-13.09,-30.65,0.491
Pigeonpeas,56.55,-19.6,-31.27,0.205
Pigeonpeas,44.67,-19.89,-26.49,0.222
Pigeonpeas,46.98,-13.52,-25.37,0.408
Pigeonpeas,57.5,-17.21,-32.97,0.439
Pigeonpeas,52.98,-10.25,-36.99,0.23
Pigeonpeas,54.53,-19.04,-36.36,0.253
Pigeonpeas,62.4,-12.71,-36.21,0.446
Pigeonpeas,66.82,-15.1,-27.94,0.273
Pigeonpeas,58.67,-16.36,-29.93,0.345
Pigeonpeas,48.89,-19.46,-35.97,0.299
Pigeonpeas,53.14,-12.16,-33.66,0.411
Pigeonpeas,51.84,-15.68,-36.56,0.485
Pigeonpeas,59.66,-14.15,-33.78,0.258
Pigeonpeas,50.53,-17.69,-38.22,0.396
Pigeonpeas,43.85,-18.25,-29.09,0.232
Pigeonpeas,43.68,-15.1,-38.21,0.37
Pigeonpeas,58.14,-15.95,-37.05,0.461
Pigeonpeas,69.22,-18.34,-26.75,0.415
Pigeonpeas,54.61,-19.27,-26.24,0.42
Pigeonpeas,52.92,-18.96,-25.36,0.377
Pigeonpeas,55.77,-15.76,-34.74,0.216
Pigeonpeas,63.35,-16.18,-36.69,0.301
Pigeonpeas,44.49,-10.95,-37.86,0.482
Pigeonpeas,51.63,-14.71,-32.63,0.432
Pigeonpeas,61.97,-14.18,-27.75,0.276
Pigeonpeas,45.16,-16.29,-35.6,0.234
Pigeonpeas,47.64,-15.15,-25.19,0.457
Pigeonpeas,54.36,-14.24,-34.5,0.226
Pigeonpeas,60.31,-12.71,-32.25,0.485
Pigeonpeas,63.14,-19.94,-25.48,0.301
Pigeonpeas,50.41,-19.54,-37.44,0.209
Pigeonpeas,46.86,-14.48,-28.14,0.267
Pigeonpeas,41.48,-14.21,-38.45,0.375
Pigeonpeas,55.68,-14.55,-26.02,0.349
Pigeonpeas,47.26,-10.49,-32.02,0.299
Pigeonpeas,41.28,-15.03,-27.58,0.432
Pigeonpeas,41.48,-15.98,-35.0,0.355
Pigeonpeas,45.23,-10.14,-39.61,0.307
Pigeonpeas,60.77,-19.49,-27.29,0.383
Pigeonpeas,60.4,-15.45,-33.47,0.262
Pigeonpeas,40.38,-12.19,-31.02,0.396
Pigeonpeas,63.66,-13.48,-34.53,0.485
Pigeonpeas,67.69,-16.94,-28.53,0.353
Pigeonpeas,66.53,-16.08,-34.19,0.322
Pigeonpeas,66.1,-18.81,-26.88,0.324
Pigeonpeas,61.53,-19.27,-34.72,0.235
Pigeonpeas,65.15,-14.95,-38.76,0.239
Pigeonpeas,49.75,-11.32,-31.85,0.468
Pigeonpeas,50.94,-15.14,-27.04,0.277
Pigeonpeas,52.73,-16.27,-34.23,0.454
Pigeonpeas,55.53,-16.99,-29.76,0.404
Pigeonpeas,59.96,-18.15,-34.47,0.41
Pigeonpeas,53.59,-17.07,-26.0,0.391
Pigeonpeas,40.52,-15.57,-26.07,0.412
Pigeonpeas,60.56,-17.39,-26.13,0.381
Pigeonpeas,47.06,-19.69,-33.77,0.418
Pigeonpeas,60.84,-12.43,-27.68,0.471
Pigeonpeas,51.33,-15.16,-37.24,0.401
Pigeonpeas,54.63,-13.31,-35.25,0.277
Pigeonpeas,68.63,-13.04,-26.5,0.351
Pigeonpeas,61.09,-12.77,-29.24,0.479
Pigeonpeas,56.05,-16.01,-30.3,0.45
Pigeonpeas,54.48,-15.55,-33.74,0.477
Pigeonpeas,54.13,-14.19,-33.04,0.311
Pigeonpeas,69.7,-10.8,-32.65,0.443
Pigeonpeas,56.1,-12.22,-29.72,0.284
Pigeonpeas,46.27,-11.29,-34.78,0.362
Pigeonpeas,50.7,-18.66,-25.07,0.39
Pigeonpeas,46.63,-13.83,-26.67,0.454
Pigeonpeas,51.97,-17.59,-25.83,0.291
Pigeonpeas,50.64,-18.79,-33.12,0.236
Pigeonpeas,41.04,-12.06,-30.45,0.407
Pigeonpeas,53.08,-15.59,-37.2,0.397
Pigeonpeas,57.55,-15.97,-25.78,0.477
Pigeonpeas,59.24,-15.05,-26.86,0.308
Pigeonpeas,49.1,-18.17,-26.54,0.23
Pigeonpeas,56.34,-10.61,-30.31,0.319
Pigeonpeas,56.49,-11.18,-30.64,0.499
Pigeonpeas,56.37,-18.36,-26.27,0.457
Pigeonpeas,48.59,-15.35,-30.54,0.239
Pigeonpeas,66.93,-16.19,-25.92,0.323
Pigeonpeas,69.93,-11.75,-27.57,0.378
Pigeonpeas,59.6,-16.27,-32.37,0.387
Pigeonpeas,63.99,-15.99,-32.48,0.352
Pigeonpeas,56.88,-14.45,-36.32,0.237
Pigeonpeas,61.25,-11.86,-27.58,0.467
Pigeonpeas,43.53,-18.33,-35.14,0.302
Pigeonpeas,67.57,-17.43,-39.93,0.316
Pigeonpeas,44.79,-12.12,-33.29,0.237
Pigeonpeas,44.08,-19.96,-39.48,0.243
Pigeonpeas,59.88,-10.59,-36.81,0.212
Pigeonpeas,63.75,-11.9,-28.09,0.231
Pigeonpeas,67.06,-10.75,-28.75,0.472
Pigeonpeas,42.89,-13.88,-39.13,0.233
Pigeonpeas,40.81,-11.05,-32.0,0.406
Pigeonpeas,43.74,-16.3,-25.42,0.452
Pigeonpeas,67.67,-19.72,-37.57,0.411
Pigeonpeas,67.34,-10.28,-27.18,0.282
Pigeonpeas,61.12,-16.63,-30.72,0.323
Pigeonpeas,44.66,-10.53,-37.72,0.316
Pigeonpeas,69.53,-11.83,-28.02,0.301
Pigeonpeas,57.63,-11.32,-31.76,0.379
Pigeonpeas,58.01,-14.43,-35.34,0.458
Pigeonpeas,54.91,-16.89,-29.56,0.357
Pigeonpeas,63.67,-18.4,-31.62,0.498
Pigeonpeas,67.06,-11.42,-31.12,0.299
Pigeonpeas,53.61,-18.09,-32.37,0.282
Pigeonpeas,68.65,-11.95,-38.1,0.441
Pigeonpeas,58.69,-16.61,-34.29,0.475
Pigeonpeas,49.88,-15.88,-32.1,0.334
Pigeonpeas,54.73,-11.82,-30.87,0.458
Pigeonpeas,53.17,-12.17,-38.77,0.226
Pigeonpeas,63.71,-19.39,-38.1,0.203
Pigeonpeas,41.03,-19.69,-29.47,0.464
Pigeonpeas,60.78,-14.26,-36.52,0.266
Pigeonpeas,57.98,-18.48,-35.99,0.364
Pigeonpeas,69.92,-15.58,-33.2,0.468
Pigeonpeas,64.37,-15.19,-37.42,0.288
Pigeonpeas,43.24,-16.82,-25.29,0.403
Pigeonpeas,69.5,-12.22,-38.37,0.229
Pigeonpeas,68.49,-19.22,-26.97,0.254
Pigeonpeas,53.12,-17.81,-36.5,0.329
Pigeonpeas,54.8,-10.12,-25.46,0.354
Pigeonpeas,48.81,-15.08,-25.63,0.296
Pigeonpeas,53.59,-11.52,-38.49,0.486
Pigeonpeas,58.62,-15.78,-35.85,0.277
Pigeonpeas,56.31,-14.63,-32.17,0.404
Pigeonpeas,55.51,-19.45,-25.19,0.475
Pigeonpeas,41.23,-11.67,-39.52,0.394
Pigeonpeas,40.32,-10.38,-38.15,0.294
Pigeonpeas,41.13,-12.35,-39.37,0.462
Pigeonpeas,45.09,-12.97,-34.46,0.434
Pigeonpeas,51.96,-18.32,-36.15,0.321
Pigeonpeas,66.65,-17.24,-30.0,0.308
Pigeonpeas,65.11,-10.63,-38.22,0.379
Pigeonpeas,66.16,-16.28,-37.3,0.259
Pigeonpeas,42.4,-13.18,-30.24,0.24
Pigeonpeas,62.67,-13.5,-36.17,0.379
Maize,-138.81,-37.31,-116.27,-0.218
Maize,-153.94,-36.34,-89.66,-0.41
Maize,-138.63,-37.61,-105.15,-0.263
Maize,-124.31,-35.39,-97.98,-0.354
Maize,-143.94,-30.63,-108.33,-0.454
Maize,-147.61,-26.89,-86.81,-0.363
Maize,-121.58,-38.17,-112.27,-0.431
Maize,-140.24,-37.04,-110.5,-0.342
Maize,-142.57,-37.56,-91.92,-0.237
Maize,-143.72,-38.67,-106.13,-0.289
Maize,-121.09,-30.79,-109.24,-0.246
Maize,-178.56,-36.6,-92.57,-0.397
Maize,-125.53,-36.31,-91.42,-0.395
Maize,-120.79,-37.94,-108.6,-0.411
Maize,-123.85,-32.89,-100.41,-0.268
Maize,-175.75,-39.26,-97.03,-0.449
Maize,-150.81,-26.8,-114.06,-0.362
Maize,-153.91,-37.79,-103.6,-0.325
Maize,-174.65,-26.35,-89.93,-0.204
Maize,-149.5,-35.96,-102.02,-0.308
Maize,-169.7,-39.47,-94.82,-0.353
Maize,-179.31,-32.39,-83.75,-0.288
Maize,-128.67,-25.08,-111.85,-0.459
Maize,-175.47,-28.82,-87.58,-0.493
Maize,-121.35,-27.47,-109.72,-0.5
Maize,-150.37,-38.11,-111.99,-0.359
Maize,-174.44,-27.05,-91.94,-0.449
Maize,-157.79,-39.38,-119.93,-0.23
Maize,-163.13,-32.29,-118.05,-0.471
Maize,-177.63,-31.6,-117.7,-0.245
Maize,-164.83,-37.69,-111.91,-0.482
Maize,-125.21,-28.6,-111.75,-0.327
Maize,-137.1,-25.17,-102.0,-0.217
Maize,-153.36,-31.21,-106.5,-0.23
Maize,-127.59,-38.32,-87.58,-0.318
Maize,-141.5,-36.35,-95.62,-0.315
Maize,-168.48,-28.52,-102.59,-0.202
Maize,-125.27,-27.66,-93.8,-0.35
Maize,-164.84,-37.01,-99.65,-0.227
Maize,-133.22,-30.89,-88.77,-0.456
Maize,-126.51,-26.06,-100.57,-0.247
Maize,-171.92,-26.55,-91.07,-0.219
Maize,-142.12,-33.37,-90.79,-0.408
Maize,-139.26,-36.45,-83.95,-0.459
Maize,-141.13,-34.71,-92.09,-0.484
Maize,-140.58,-35.71,-80.68,-0.255
Maize,-121.75,-29.43,-87.66,-0.347
Maize,-164.38,-28.37,-103.57,-0.45
Maize,-157.92,-37.97,-100.67,-0.462
Maize,-125.46,-34.26,-96.54,-0.442
Maize,-156.16,-31.51,-116.65,-0.457
Maize,-152.25,-34.64,-83.08,-0.333
Maize,-145.94,-32.78,-117.38,-0.242
Maize,-132.68,-35.17,-110.45,-0.341
Maize,-135.43,-35.06,-91.06,-0.281
Maize,-163.42,-27.46,-83.97,-0.29
Maize,-178.35,-33.76,-96.84,-0.283
Maize,-157.21,-37.84,-101.89,-0.296
Maize,-165.75,-39.28,-83.8,-0.282
Maize,-151.47,-32.49,-92.6,-0.29
Maize,-162.13,-33.4,-119.87,-0.494
Maize,-174.59,-36.59,-117.98,-0.398
Maize,-125.43,-29.57,-111.93,-0.441
Maize,-136.75,-36.76,-84.75,-0.361
Maize,-160.06,-28.39,-108.19,-0.376
Maize,-160.48,-38.78,-92.65,-0.402
Maize,-138.91,-30.94,-108.99,-0.249
Maize,-161.9,-30.56,-106.27,-0.43
Maize,-121.56,-29.7,-97.03,-0.309
Maize,-170.6,-31.06,-109.26,-0.264
Maize,-158.65,-29.24,-87.37,-0.222
Maize,-126.57,-38.42,-114.29,-0.395
Maize,-123.51,-32.36,-98.58,-0.396
Maize,-121.52,-37.7,-112.73,-0.406
Maize,-155.49,-39.68,-86.92,-0.229
Maize,-136.07,-32.86,-93.01,-0.338
Maize,-122.41,-32.07,-110.33,-0.303
Maize,-130.62,-27.01,-107.11,-0.319
Maize,-164.74,-37.59,-106.41,-0.314
Maize,-170.2,-29.93,-94.9,-0.224
Maize,-143.69,-28.84,-110.51,-0.379
Maize,-167.04,-39.49,-100.23,-0.281
Maize,-174.77,-39.13,-102.09,-0.258
Maize,-159.78,-34.96,-115.56,-0.325
Maize,-145.84,-32.69,-104.21,-0.493
Maize,-168.41,-35.7,-85.07,-0.234
Maize,-159.08,-33.94,-82.87,-0.275
Maize,-176.77,-26.71,-92.76,-0.378
Maize,-166.91,-37.18,-98.63,-0.391
Maize,-178.16,-33.48,-114.99,-0.406
Maize,-144.32,-32.53,-84.45,-0.458
Maize,-149.77,-38.23,-108.35,-0.362
Maize,-124.04,-38.0,-109.39,-0.326
Maize,-141.62,-28.17,-83.14,-0.212
Maize,-123.63,-28.51,-88.76,-0.413
Maize,-167.8,-26.58,-108.56,-0.466
Maize,-167.54,-25.09,-101.66,-0.253
Maize,-121.2,-39.07,-83.64,-0.372
Maize,-143.82,-25.78,-110.99,-0.417
Maize,-170.5,-39.51,-95.22,-0.357
Maize,-163.66,-35.05,-104.72,-0.218
Maize,-154.41,-37.45,-95.37,-0.405
Maize,-141.54,-38.1,-104.99,-0.348
Maize,-125.72,-32.06,-98.47,-0.492
Maize,-167.98,-34.62,-91.05,-0.201
Maize,-129.12,-29.38,-105.03,-0.329
Maize,-144.21,-38.75,-83.17,-0.368
Maize,-148.1,-37.77,-119.32,-0.372
Maize,-141.01,-34.17,-98.43,-0.335
Maize,-139.75,-32.0,-82.74,-0.228
Maize,-125.26,-33.24,-101.67,-0.326
Maize,-121.4,-26.88,-115.23,-0.274
Maize,-134.56,-33.0,-104.12,-0.423
Maize,-166.61,-32.16,-83.27,-0.331
Maize,-165.88,-37.11,-81.28,-0.445
Maize,-146.79,-33.61,-109.41,-0.379
Maize,-169.7,-32.81,-99.54,-0.415
Maize,-146.3,-35.84,-113.94,-0.325
Maize,-125.7,-25.98,-99.25,-0.364
Maize,-121.93,-32.08,-85.83,-0.206
Maize,-150.31,-32.49,-113.01,-0.488
Maize,-149.63,-35.91,-83.46,-0.383
Maize,-174.08,-30.77,-94.8,-0.382
Maize,-132.11,-27.09,-99.47,-0.389
Maize,-144.93,-27.8,-99.15,-0.473
Maize,-143.74,-31.34,-100.49,-0.297
Maize,-126.24,-30.82,-87.57,-0.385
Maize,-150.59,-35.95,-83.29,-0.479
Maize,-168.65,-34.37,-99.32,-0.396
Maize,-130.94,-26.19,-106.63,-0.478
Maize,-160.61,-28.14,-108.39,-0.437
Maize,-162.07,-39.96,-94.32,-0.311
Maize,-178.73,-39.47,-112.12,-0.415
Maize,-163.41,-31.12,-106.43,-0.314
Maize,-120.65,-31.3,-115.62,-0.274
Maize,-126.02,-33.84,-109.93,-0.474
Maize,-147.94,-33.42,-100.27,-0.344
Maize,-167.24,-33.96,-110.31,-0.295
Maize,-160.88,-27.64,-83.95,-0.459
Maize,-174.73,-27.69,-107.78,-0.219
Maize,-140.27,-25.26,-109.1,-0.206
Maize,-125.48,-29.7,-107.42,-0.289
Maize,-133.63,-34.32,-96.6,-0.397
Maize,-169.61,-31.54,-100.24,-0.489
Maize,-170.29,-25.75,-88.91,-0.269
Maize,-148.54,-33.12,-116.93,-0.254
Maize,-120.39,-33.02,-99.69,-0.38
Maize,-173.41,-39.23,-102.66,-0.221
Maize,-134.98,-26.25,-86.06,-0.204
Maize,-124.13,-33.92,-84.33,-0.306
Maize,-156.94,-36.79,-95.87,-0.409
Maize,-120.07,-33.14,-92.4,-0.324
Maize,-120.2,-27.1,-87.03,-0.294
Maize,-175.45,-25.07,-98.21,-0.378
Maize,-167.15,-31.18,-85.78,-0.27
Maize,-154.37,-30.41,-88.46,-0.295
Maize,-161.4,-32.41,-95.23,-0.355
Maize,-157.39,-37.28,-96.03,-0.307
Maize,-134.78,-29.92,-102.5,-0.424
Maize,-176.15,-30.42,-99.77,-0.435
Maize,-151.47,-38.1,-100.75,-0.469
Maize,-164.16,-32.11,-119.68,-0.473
Maize,-169.61,-35.8,-109.17,-0.298
Maize,-157.85,-38.1,-84.86,-0.238
Maize,-120.56,-31.09,-108.19,-0.47
Maize,-130.4,-26.9,-86.77,-0.257
Maize,-155.68,-25.34,-96.89,-0.459
Maize,-121.77,-28.52,-100.44,-0.477
Maize,-123.14,-33.21,-82.87,-0.327
Maize,-154.99,-38.33,-86.14,-0.413
Maize,-174.65,-39.82,-98.94,-0.347
Maize,-122.08,-38.23,-99.05,-0.467
Maize,-141.46,-27.78,-116.81,-0.297
Maize,-174.4,-26.02,-110.39,-0.2
Maize,-120.78,-34.47,-80.38,-0.225
Maize,-140.9,-39.8,-84.99,-0.383
Maize,-140.24,-28.87,-101.16,-0.242
Maize,-157.42,-34.01,-104.21,-0.289
Maize,-141.58,-34.17,-100.11,-0.444
Maize,-166.15,-38.25,-93.35,-0.433
Maize,-155.63,-27.67,-83.44,-0.216
Maize,-133.21,-29.73,-92.42,-0.226
Maize,-163.55,-30.32,-117.44,-0.469
Maize,-130.61,-32.96,-91.23,-0.253
Maize,-145.93,-36.17,-101.51,-0.4
Maize,-142.57,-25.22,-101.43,-0.261
Maize,-122.0,-37.88,-87.57,-0.282
Maize,-142.81,-35.06,-82.49,-0.489
Maize,-140.9,-36.76,-91.69,-0.264
Maize,-125.72,-39.41,-91.14,-0.488
Maize,-160.11,-28.22,-88.65,-0.214
Maize,-174.95,-30.98,-109.32,-0.388
Maize,-133.67,-30.77,-97.72,-0.311
Maize,-149.02,-28.06,-110.59,-0.356
Maize,-140.3,-33.79,-82.23,-0.347
Maize,-179.59,-29.83,-106.99,-0.432
Maize,-177.15,-33.25,-107.96,-0.231
Maize,-130.35,-31.35,-114.04,-0.394
Maize,-126.2,-28.99,-114.37,-0.23
Maize,-120.82,-28.71,-114.06,-0.404
Rice,-129.58,-27.83,-83.43,-0.364
Rice,-116.65,-29.58,-110.52,-0.503
Rice,-102.54,-21.1,-113.22,-0.304
Rice,-123.79,-29.02,-115.84,-0.536
Rice,-134.5,-23.84,-88.33,-0.433
Rice,-108.74,-24.22,-95.02,-0.51
Rice,-131.42,-25.16,-97.72,-0.348
Rice,-117.12,-28.71,-105.93,-0.482
Rice,-129.28,-26.72,-88.42,-0.528
Rice,-135.1,-29.6,-85.59,-0.329
Rice,-103.7,-28.86,-107.01,-0.443
Rice,-116.84,-29.77,-100.24,-0.44
Rice,-106.83,-28.34,-84.87,-0.359
Rice,-139.83,-25.3,-93.61,-0.472
Rice,-101.73,-25.15,-87.66,-0.436
Rice,-134.96,-26.21,-81.84,-0.45
Rice,-101.78,-29.08,-117.34,-0.565
Rice,-114.83,-28.89,-92.89,-0.578
Rice,-108.09,-26.71,-105.55,-0.38
Rice,-107.99,-27.63,-118.5,-0.39
Rice,-130.36,-29.18,-96.07,-0.57
Rice,-128.78,-26.67,-99.75,-0.379
Rice,-111.63,-26.14,-87.73,-0.371
Rice,-119.93,-20.64,-107.07,-0.368
Rice,-119.49,-20.38,-117.4,-0.554
Rice,-130.92,-23.92,-109.22,-0.366
Rice,-113.02,-26.76,-104.68,-0.513
Rice,-128.2,-20.52,-96.78,-0.532
Rice,-104.18,-20.85,-105.2,-0.482
Rice,-109.39,-25.21,-89.94,-0.474
Rice,-117.54,-23.88,-103.6,-0.31
Rice,-113.68,-29.19,-87.09,-0.588
Rice,-102.77,-25.51,-86.73,-0.447
Rice,-109.54,-23.94,-102.54,-0.471
Rice,-107.86,-29.52,-89.65,-0.501
Rice,-138.27,-23.9,-98.77,-0.576
Rice,-107.35,-21.35,-102.13,-0.41
Rice,-138.69,-27.88,-107.24,-0.477
Rice,-121.96,-25.73,-104.76,-0.473
Rice,-133.35,-27.61,-109.86,-0.574
Rice,-136.41,-27.1,-83.35,-0.478
Rice,-139.16,-26.19,-101.01,-0.414
Rice,-139.24,-24.81,-92.45,-0.4
Rice,-102.91,-28.29,-116.17,-0.383
Rice,-104.44,-25.57,-102.23,-0.476
Rice,-138.1,-27.74,-117.46,-0.572
Rice,-109.39,-25.92,-94.52,-0.413
Rice,-105.15,-21.66,-80.55,-0.586
Rice,-124.22,-23.81,-115.72,-0.318
Rice,-115.59,-28.59,-101.72,-0.332
Rice,-121.91,-20.71,-117.02,-0.456
Rice,-100.96,-22.87,-90.7,-0.437
Rice,-120.65,-28.5,-103.67,-0.367
Rice,-123.12,-29.6,-82.22,-0.5
Rice,-134.53,-24.83,-82.65,-0.575
Rice,-138.92,-20.44,-84.94,-0.321
Rice,-127.31,-20.46,-117.5,-0.452
Rice,-130.03,-29.41,-106.87,-0.414
Rice,-125.91,-22.06,-99.29,-0.302
Rice,-135.45,-29.87,-97.66,-0.569
Rice,-123.04,-20.3,-88.98,-0.516
Rice,-137.36,-26.6,-87.34,-0.338
Rice,-114.65,-20.44,-106.11,-0.519
Rice,-107.95,-23.2,-82.29,-0.543
Rice,-111.72,-22.48,-83.91,-0.354
Rice,-139.8,-26.01,-103.11,-0.575
Rice,-130.96,-23.51,-102.06,-0.449
Rice,-102.51,-20.59,-93.17,-0.554
Rice,-111.9,-28.44,-102.04,-0.489
Rice,-104.99,-21.06,-86.19,-0.599
Rice,-117.71,-24.4,-91.37,-0.322
Rice,-130.78,-21.06,-102.36,-0.594
Rice,-132.97,-28.61,-105.26,-0.448
Rice,-117.65,-25.09,-89.22,-0.419
Rice,-136.97,-24.79,-89.81,-0.412
Rice,-121.71,-25.59,-109.55,-0.315
Rice,-113.86,-21.18,-93.09,-0.541
Rice,-100.34,-29.11,-95.24,-0.357
Rice,-132.87,-29.97,-118.72,-0.447
Rice,-109.1,-26.68,-89.39,-0.36
Rice,-103.21,-23.54,-109.77,-0.546
Rice,-119.5,-22.89,-114.32,-0.352
Rice,-125.47,-21.16,-111.55,-0.495
Rice,-101.48,-26.54,-112.36,-0.425
Rice,-104.24,-28.62,-114.28,-0.361
Rice,-119.37,-27.38,-108.52,-0.558
Rice,-117.87,-26.82,-109.84,-0.473
Rice,-125.58,-21.1,-83.18,-0.584
Rice,-119.11,-28.7,-102.19,-0.569
Rice,-107.05,-24.47,-114.71,-0.518
Rice,-128.62,-29.96,-118.99,-0.581
Rice,-131.77,-22.35,-109.79,-0.434
Rice,-137.31,-21.54,-81.87,-0.366
Rice,-130.81,-28.11,-85.1,-0.564
Rice,-122.4,-28.81,-102.14,-0.518
Rice,-111.83,-29.35,-82.62,-0.53
Rice,-114.31,-29.78,-90.45,-0.377
Rice,-134.9,-25.24,-109.87,-0.37
Rice,-124.36,-21.83,-103.72,-0.368
Rice,-136.58,-20.91,-109.67,-0.442
Rice,-107.66,-29.86,-84.06,-0.581
Rice,-128.24,-23.03,-89.54,-0.363
Rice,-121.38,-21.35,-115.42,-0.414
